section,title,loc,institution,start,end,description_1,description_2,description_3,description_4,description_5,description_6,description_7,description_8,description_9,description_10,description_11,description_12,description_13,in_resume
work,Data Analyst,São Paulo,Agência Pública de Jornalismo Investigativo,2022,Present,Create automation solutions for the data journalism workflow and assist in works that are data-driven,"Participated in the Map of Conflict, a project by the investigative journalism outlet Agência Pública, in partnership with the Pastoral Land Commission (CPT). Using original data analysis, it investigates instances of rural conflict in Brazil’s Legal Amazon region in the last decade (2011-2020)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
education,Bachelor of Journalism,São Paulo,University of São Paulo (USP),2018,2023,Member of the Junior Enterprise of Journalism at ECA -USP (2018 - 2019),"Monitor of the Summer Courses of the Institute of Mathematics and Statistics (IME) of USP ""Python for Data Analysis"" (2022) and ""R for data analysis"" (2023)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
education,"Master in Data Journalism, Automation and Data Storytelling",São Paulo,Insper,2021,2022,Specialization with double certification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
work,Data Journalism Intern,São Paulo,Agência Pública de Jornalismo Investigativo,2020,2022,Participated in coverage recognized for the Roche Health Journalism Award and finalist reports of Sigma Awards and Claudio Weber Abramo Award from Data Journalism.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
education,MS in Pharmacology,São Paulo,Federal University of São Paulo - UNIFESP,2018,2022,"Master in Sciences from the Postgraduate Program in Pharmacology (Concept CAPES 6), with a project entitled ""Pharmacological and Non-Farmacological Manipulations for the reestablishment of a"" hedonic tone ""in an animal model of schizophrenia: the SHR strain""",CAPES scholarship (2018 - 2019),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
awards,"Awards, shortlists and honorable mentions",São Paulo,Associated with the Agência Pública de Jornalismo Investigativo,2020,Present,Claudio Weber Abramo Award for Data Journalism - Shortlist (2021),The Sigma Awards 2021 - Shortlisted with the work ,Roche Health Journalism Award (Honorable Mention),39th Human Rights of Journalism Award,39th Human Rights of Journalism Award,Claudio Weber Abramo Award for Data Journalism - Shortlist (2022),"The Sigma Awards 2022 - Shortlisted with the work ""Map of Conflict""",Agência Nacional de Águas e Saneamento Award 2023 - Shortlisted,39th Human Rights Award for Journalism (Honorable Mention),"Design for Better World Award 2022 - Winner with the work ""Map of Conflict""",NA,NA,NA,TRUE
work,Vice-President Director,São Paulo,Jornalismo Júnior,2019,2019,"Headed the financial planning of the Jornalismo Junior, with activities like: cash flow update, and legal regulation","Managed internal and external projects. One of them was ""São Paulo sem Migué"", a fact-checking project about the city of São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
work,News reporter,São Paulo,Jornalismo Júnior,2018,2018,"Wrote articles about sciences, sports, culture and politics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
education,Bachelor of Biomedicine,São Paulo,Federal University of São Paulo - UNIFESP,2014,2017,"Participated in the development of the ""Patógenos em Jogo"", an extension project of Unifesp (2016)","Coordinated the XV Biomedicine Winter Course, at Unifesp (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
talks,Lectures and workshops,São Paulo,NA,2021,2023,"Lecture: ""Step by step of a data driven story with the Map of Conflict"" (2023,  ""Coverage of Socio-Environmental Conflicts"" - Portal Assobiar)","Lecture: ""Intro to Data Journalism"" at the ""Communication Course: Practice and Reflection"" (2023, Colabora)","Climate Data Laboratory - Alma Preta Jornalismo (2023, Escola de Dados)","Lecture ""Dataviz at the Agência Pública"" (2023, Unisinos)","Introduction to R and Tidyverse (2023, R-Ladies São Paulo)","Workshop “Python + R together with Quarto: your reports will never be the same” (2023, CODA Amazônia)","Workshop “Spreadsheet: a great ally of data analysis” (2023, CODA Amazônia)","Lecture: ""Data visualization reveal social problems"" (2023, Domingo de Dados - 18th Abraji Congress)","Workshop ""Open Data Analysis with R - Open Data Day"" (2023, R -Ladies São Paulo)","Workshop “Data journalism with spreadsheet editors” (2022, CODA.Br)","Webinar “the public in data and the map of conflicts” (2022, data school)","Data journalism to change realities (2022, Data Sunday - 17th Abraji Congress)","Lecture: ""Business Chain - Data in all sectors of the economy: Data journalism"" (2021, BIX Technology)",TRUE
awards,Scholarships and Fellowships,São Paulo,NA,2021,2023,"Entrepreneurship and Innovation Scholarship (Agência USP de Inovação - AUSPIN, 2022). With this scholarship, I developed a research project for four months at University of Texas at Austin about what data journalism teaching is like in the USA","Amazon Rainforest Journalism Fund, from Pulitzer Center (2021)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
